LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,COUNT
7315.0,Red Light / Speed Camera,HUME HIGHWAY LIVERPOOL SOUTHBOUND,,Y,75
7316.0,Red Light / Speed Camera,ABERCROMBIE STREET CHIPPENDALE NORTHBOUND,,Y,76
7317.0,Red Light / Speed Camera,PRINCES HIGHWAY ST PETERS NORTHBOUND,,Y,54
7318.0,Red Light / Speed Camera,OXFORD STREET DARLINGHURST EASTBOUND,,Y,197
7319.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY EASTERN CREEK EASTBOUND,,Y,90
7320.0,Red Light / Speed Camera,STONEY CREEK ROAD KINGSGROVE EASTBOUND,,Y,84
7321.0,Red Light / Speed Camera,ROOKWOOD ROAD YAGOONA NORTHBOUND,,Y,114
7322.0,Red Light / Speed Camera,ROBERTS ROAD GREENACRE NORTHBOUND,,Y,86
7323.0,Red Light / Speed Camera,FORESHORE ROAD BANKSMEADOW EASTBOUND,,Y,127
7324.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY CANLEY HEIGHTS NORTHBOUND,Y,Y,167
7325.0,Red Light / Speed Camera,MACQUARIE STREET WINDSOR SOUTHBOUND,,Y,83
7326.0,Red Light / Speed Camera,HOMEBUSH BAY DRIVE SYDNEY OLYMPIC PARK NORTHBOUND,,Y,97
7327.0,Red Light / Speed Camera,THIRD AVENUE BLACKTOWN SOUTHBOUND,,Y,66
7328.0,Red Light / Speed Camera,WOODSTOCK AVENUE ROOTY HILL WESTBOUND,,Y,155
7329.0,Red Light / Speed Camera,FOVEAUX STREET SURRY HILLS WESTBOUND,,Y,44
7330.0,Red Light / Speed Camera,VICTORIA ROAD DRUMMOYNE NORTHBOUND,,Y,64
7331.0,Red Light / Speed Camera,MCEVOY STREET WATERLOO EASTBOUND,,Y,1
7332.0,Red Light / Speed Camera,CROWN STREET SURRY HILLS NORTHBOUND,,Y,35
7333.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY PARRAMATTA EASTBOUND,,Y,38
7334.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY PROSPECT WESTBOUND,,Y,35
7335.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY GREYSTANES SOUTHBOUND,,Y,39
7336.0,Red Light / Speed Camera,RAWSON STREET AUBURN EASTBOUND,,Y,72
7337.0,Red Light / Speed Camera,POLDING STREET SMITHFIELD EASTBOUND,,Y,27
7338.0,Red Light / Speed Camera,MOORE STREET LIVERPOOL EASTBOUND,,Y,14
9509.0,Fixed Digital Speed Camera,PRINCES HIGHWAY BULLI NORTHBOUND,,Y,454
9522.0,Fixed Digital Speed Camera,HUME HIGHWAY BURWOOD HEIGHTS WESTBOUND,,Y,247
9530.0,Fixed Digital Speed Camera,BANGALOW ROAD CLUNES NORTHBOUND,,Y,395
9534.0,Fixed Digital Speed Camera,PARRAMATTA RD AUBURN EASTBOUND,,Y,457
9535.0,Fixed Digital Speed Camera,M1 PACIFIC MOTORWAY OURIMBAH NORTHBOUND,,Y,282
9538.0,Fixed Digital Speed Camera,GIINAGAY WAY VALLA SOUTHBOUND,,Y,538
9540.0,Fixed Digital Speed Camera,JAMES RUSE DRIVE CAMELLIA SOUTHBOUND,,Y,293
9541.0,Fixed Digital Speed Camera,PENNANT HILLS RD NORTH PARRAMATTA EASTBOUND,,Y,265
9542.0,Fixed Digital Speed Camera,HUME HIGHWAY YAGOONA EASTBOUND,,Y,255
9543.0,Fixed Digital Speed Camera,GREYSTANES ROAD GREYSTANES NORTHBOUND,,Y,226
9546.0,Fixed Digital Speed Camera,HUME HIGHWAY LANSVALE SOUTHBOUND,,Y,336
9547.0,Fixed Digital Speed Camera,GEORGE STREET SOUTH WINDSOR SOUTHBOUND,,Y,550
9548.0,Fixed Digital Speed Camera,GREAT WESTERN HIGHWAY VALLEY HEIGHTS EASTBOUND,,Y,201
9549.0,Fixed Digital Speed Camera,NEW SOUTH HEAD ROAD EDGECLIFF EASTBOUND,,Y,345
9550.0,Fixed Digital Speed Camera,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,Y,372
9551.0,Fixed Digital Speed Camera,M5 MOTORWAY (EASTBOUND)  BARDWELL PARK EASTBOUND,,Y,704
9552.0,Fixed Digital Speed Camera,M5 MOTORWAY (WESTBOUND)  ARNCLIFFE WESTBOUND,,Y,698
9553.0,Fixed Digital Speed Camera,PENNANT HILLS ROAD CARLINGFORD WESTBOUND,,Y,263
9554.0,Fixed Digital Speed Camera,BLAXLAND ROAD RYDE EASTBOUND,,Y,280
9556.0,Fixed Digital Speed Camera,MEMORIAL DRIVE CORRIMAL NORTHBOUND,,Y,251
9557.0,Fixed Digital Speed Camera,MEMORIAL DRIVE CORRIMAL SOUTHBOUND,,Y,291
9560.0,Fixed Digital Speed Camera,CASTLE HILL ROAD WEST PENNANT HILLS WESTBOUND,,Y,379
9561.0,Fixed Digital Speed Camera,FAIRFIELD STREET FAIRFIELD EAST WESTBOUND,,Y,253
9563.0,Fixed Digital Speed Camera,NEW ENGLAND HIGHWAY BEN LOMOND NORTHBOUND,,Y,199
9567.0,Fixed Digital Speed Camera,GIINAGAY WAY VALLA SOUTHBOUND,,Y,206
9568.0,Fixed Digital Speed Camera,NEW ENGLAND HIGHWAY TENTERFIELD EASTBOUND,,Y,659
9570.0,Fixed Digital Speed Camera,PACIFIC HIGHWAY WARDELL SOUTHBOUND,,Y,461
9571.0,Fixed Digital Speed Camera,BRUXNER HWY WOLLONGBAR EASTBOUND,,Y,380
